Winner, Blue Score, Purple Score, Blue State, Purple State, Time to Goal, Time Left,,,Blue winrate,Purple winrate,Draw rate,Average Blue Time to Goal,Average Purple Time to Goal
Blue,2,11,Alive,Alive,12.16027,7.839726,,,25%,72%,3%,10.01,9.59434388
Blue,36,20,Alive,Dead,14.50027,5.499728,,,,,,,
Blue,4,0,Alive,Alive,11.02025,8.979748,,,,,,,
Blue,6,0,Alive,Alive,10.36024,9.639763,,,,,,,
Purple,0,40,Dead,Alive,7.600173,12.39983,,,,,,,
Purple,0,32,Dead,Alive,10.04023,9.95977,,,,,,,
Purple,0,30,Dead,Alive,6.800155,13.19984,,,,,,,
Purple,0,40,Dead,Alive,9.120209,10.87979,,,,,,,
Purple,10,40,Dead,Alive,6.240142,13.75986,,,,,,,
Purple,0,40,Dead,Alive,7.720176,12.27982,,,,,,,
Purple,10,30,Dead,Alive,10.26023,9.739765,,,,,,,
Purple,0,40,Dead,Alive,7.080162,12.91984,,,,,,,
Purple,5,30,Dead,Alive,7.220165,12.77983,,,,,,,
Blue,0,0,Alive,Alive,8.28019,11.71981,,,,,,,
Purple,0,30,Dead,Alive,7.980182,12.01982,,,,,,,
Draw,25,25,Dead,Dead,,15.7199,,,,,,,
Purple,0,30,Dead,Alive,8.180187,11.81981,,,,,,,
Purple,0,30,Dead,Alive,11.52026,8.479736,,,,,,,
Purple,0,30,Dead,Alive,9.060207,10.93979,,,,,,,
Purple,5,50,Dead,Alive,6.620151,13.37985,,,,,,,
Purple,5,40,Dead,Alive,9.520218,10.47978,,,,,,,
Purple,0,40,Dead,Alive,6.480148,13.51985,,,,,,,
Purple,0,32,Dead,Alive,10.78025,9.219753,,,,,,,
Purple,5,32,Dead,Alive,7.780178,12.21982,,,,,,,
Blue,50,0,Alive,Dead,8.940205,11.0598,,,,,,,
Purple,10,30,Dead,Alive,10.56024,9.439758,,,,,,,
Blue,40,0,Alive,Dead,7.980182,12.01982,,,,,,,
Purple,0,40,Dead,Alive,7.320167,12.67983,,,,,,,
Blue,50,10,Alive,Dead,7.660175,12.33982,,,,,,,
Purple,0,30,Dead,Alive,12.60027,7.399726,,,,,,,
Purple,0,50,Dead,Alive,6.000137,13.99986,,,,,,,
Purple,0,50,Dead,Alive,6.58015,13.41985,,,,,,,
Purple,0,30,Dead,Alive,8.160187,11.83981,,,,,,,
Purple,0,30,Dead,Alive,9.560219,10.43978,,,,,,,
Blue,50,10,Alive,Dead,8.860203,11.1398,,,,,,,
Purple,0,30,Dead,Alive,12.74027,7.259727,,,,,,,
Blue,50,0,Alive,Dead,6.720153,13.27985,,,,,,,
Purple,5,30,Dead,Alive,8.520195,11.4798,,,,,,,
Purple,5,30,Dead,Alive,7.280166,12.71983,,,,,,,
Purple,1,40,Dead,Alive,9.62022,10.37978,,,,,,,
Purple,0,32,Dead,Alive,10.00023,9.999771,,,,,,,
Purple,5,40,Dead,Alive,9.680222,10.31978,,,,,,,
Purple,10,50,Dead,Alive,7.700176,12.29982,,,,,,,
Purple,0,50,Dead,Alive,7.160163,12.83984,,,,,,,
Purple,0,50,Dead,Alive,7.840179,12.15982,,,,,,,
Purple,10,50,Dead,Alive,10.76025,9.239754,,,,,,,
Blue,50,10,Alive,Dead,10.10023,9.899769,,,,,,,
Purple,0,50,Dead,Alive,6.900157,13.09984,,,,,,,
Purple,0,50,Dead,Alive,8.660198,11.3398,,,,,,,
Blue,42,10,Alive,Dead,8.220188,11.77981,,,,,,,
Purple,10,30,Dead,Alive,8.540195,11.4598,,,,,,,
Purple,11,40,Dead,Alive,10.44024,9.559761,,,,,,,
Blue,50,10,Alive,Dead,9.460217,10.53978,,,,,,,
Purple,0,50,Dead,Alive,8.800201,11.1998,,,,,,,
Purple,1,70,Dead,Alive,10.62024,9.379757,,,,,,,
Purple,1,50,Dead,Alive,9.18021,10.81979,,,,,,,
Purple,0,50,Dead,Alive,7.160163,12.83984,,,,,,,
