Winner, Blue Score, Purple Score, Blue State, Purple State, Time to Goal, Time Left
Purple,0,50,Dead,Alive,12.68027,7.319726
Purple,0,50,Dead,Alive,13.74027,6.259727
Purple,0,50,Dead,Alive,7.44017,12.55983
Purple,0,50,Dead,Alive,11.52026,8.479736
Purple,0,40,Dead,Alive,9.62022,10.37978
Purple,0,30,Dead,Alive,10.88025,9.119751
Purple,0,50,Dead,Alive,9.640221,10.35978
Purple,0,50,Dead,Alive,10.86025,9.139751
Purple,0,50,Dead,Alive,14.96027,5.039729
Purple,0,50,Dead,Alive,8.960205,11.03979
Purple,0,30,Dead,Alive,9.840225,10.15977
Purple,0,20,Alive,Alive,9.240211,10.75979
Purple,0,50,Dead,Alive,12.46027,7.539726
Purple,0,52,Dead,Alive,14.14027,5.859728
Purple,0,50,Dead,Alive,11.14025,8.859745
Purple,10,50,Dead,Alive,11.48026,8.519737
Purple,0,50,Dead,Alive,9.560219,10.43978
Purple,0,52,Dead,Alive,15.32027,4.679729
Purple,10,50,Dead,Alive,12.28027,7.719726
Purple,0,50,Dead,Alive,9.820225,10.17978
Purple,0,22,Alive,Alive,13.26027,6.739727
Purple,0,50,Dead,Alive,10.60024,9.399757
Purple,0,50,Dead,Alive,16.56027,3.43973
Purple,0,30,Dead,Alive,9.460217,10.53978
Purple,0,50,Dead,Alive,13.26027,6.739727
Purple,1,10,Alive,Alive,15.72027,4.279729
Purple,0,50,Dead,Alive,13.86027,6.139728
Purple,10,50,Dead,Alive,13.86027,6.139728
Purple,0,30,Dead,Alive,9.260212,10.73979
Purple,0,50,Dead,Alive,10.84025,9.159752
Purple,0,30,Dead,Alive,9.720222,10.27978
Draw,0,0,Alive,Alive,,0.01973285
Purple,10,50,Dead,Alive,15.58027,4.419729
Purple,0,50,Dead,Alive,7.88018,12.11982
Purple,0,52,Dead,Alive,11.56026,8.439735
Purple,0,52,Dead,Alive,15.16027,4.839729
Draw,0,0,Alive,Alive,,0.01973285
Purple,0,50,Dead,Alive,11.38026,8.61974
Purple,0,50,Dead,Alive,9.680222,10.31978
Purple,0,50,Dead,Alive,12.40027,7.599726
Purple,5,40,Dead,Alive,13.98027,6.019728
Purple,10,40,Dead,Alive,16.06027,3.93973
Purple,0,44,Dead,Alive,11.52026,8.479736
Purple,0,40,Dead,Alive,15.66027,4.339729
Purple,10,30,Dead,Alive,12.46027,7.539726
Purple,5,40,Dead,Alive,12.60027,7.399726
Purple,0,50,Dead,Alive,15.28027,4.719729
Purple,1,70,Dead,Alive,15.80027,4.199729
Purple,0,50,Dead,Alive,10.90025,9.099751
Purple,6,50,Dead,Alive,15.32027,4.679729
Purple,0,50,Dead,Alive,9.020206,10.97979
Purple,0,30,Dead,Alive,15.76027,4.239729
Purple,0,50,Dead,Alive,11.46026,8.539738
Draw,1,36,Dead,Alive,,0.01973285
Purple,0,52,Dead,Alive,14.12027,5.879728
Draw,11,35,Dead,Alive,,0.01973285
Purple,0,50,Dead,Alive,13.06027,6.939727
Purple,0,30,Dead,Alive,12.96027,7.039727
Purple,0,50,Dead,Alive,9.560219,10.43978
Purple,1,72,Dead,Alive,14.82027,5.179729
Purple,0,22,Alive,Alive,16.12027,3.87973
Purple,0,30,Dead,Alive,14.30027,5.699728
Purple,0,50,Dead,Alive,17.64027,2.359731
Purple,0,40,Dead,Alive,12.32027,7.679726
Purple,5,30,Dead,Alive,12.18027,7.819726
Purple,0,50,Dead,Alive,18.64027,1.359732
Purple,0,50,Dead,Alive,12.66027,7.339726
Purple,5,30,Dead,Alive,11.90027,8.099728
Purple,0,50,Dead,Alive,13.18027,6.819727
Purple,0,50,Dead,Alive,18.40027,1.599732
Purple,0,50,Dead,Alive,16.28027,3.71973
Purple,0,40,Dead,Alive,12.30027,7.699726
Purple,10,30,Dead,Alive,15.36027,4.639729
Purple,10,50,Dead,Alive,16.76027,3.23973
Purple,0,20,Alive,Alive,15.08027,4.919729
Draw,0,0,Alive,Alive,,0.01973285
Purple,0,30,Dead,Alive,15.20027,4.799729
Purple,0,50,Dead,Alive,15.28027,4.719729
Purple,0,2,Alive,Alive,13.12027,6.879727
Purple,1,60,Dead,Alive,12.66027,7.339726
Purple,1,70,Dead,Alive,16.72027,3.27973
Blue,2,10,Alive,Alive,19.02027,0.9797325
Purple,0,50,Dead,Alive,12.80027,7.199727
Draw,0,0,Alive,Alive,,0.01973285
Purple,0,20,Alive,Alive,8.560196,11.4398
Purple,0,40,Dead,Alive,18.62027,1.379732
Purple,0,50,Dead,Alive,15.96027,4.03973
Purple,0,50,Dead,Alive,18.50027,1.499732
Purple,0,30,Dead,Alive,10.78025,9.219753
Purple,0,50,Dead,Alive,13.96027,6.039728
Blue,22,10,Alive,Alive,18.66027,1.339732
Purple,10,50,Dead,Alive,11.28026,8.719742
Purple,5,40,Dead,Alive,12.06027,7.939726
Draw,0,0,Alive,Alive,,0.01973285
Purple,0,52,Dead,Alive,18.32027,1.679732
Draw,0,0,Alive,Alive,,0.01973285
Purple,10,12,Alive,Alive,18.44027,1.559732
Purple,0,40,Dead,Alive,16.64027,3.35973
Purple,1,70,Dead,Alive,11.70027,8.299732
Purple,0,52,Dead,Alive,13.82027,6.179728
