Winner, Blue Score, Purple Score, Blue State, Purple State, Time to Goal, Time Left
Draw,0,0,Alive,Alive,,0.01973285
Purple,0,50,Dead,Alive,12.24027,7.759726
Purple,0,50,Dead,Alive,9.120209,10.87979
Purple,0,50,Dead,Alive,8.020184,11.97982
Purple,1,70,Dead,Alive,15.26027,4.739729
Purple,0,50,Dead,Alive,7.760177,12.23982
Purple,0,50,Dead,Alive,15.76027,4.239729
Purple,0,32,Dead,Alive,12.44027,7.559726
Draw,1,10,Alive,Alive,,0.01973285
Purple,0,0,Alive,Alive,13.10027,6.899727
Purple,0,40,Dead,Alive,8.380192,11.61981
Purple,1,72,Dead,Alive,14.48027,5.519728
Purple,0,50,Dead,Alive,12.48027,7.519726
Purple,2,90,Dead,Alive,17.66027,2.339731
Purple,2,90,Dead,Alive,16.50027,3.49973
Purple,0,30,Dead,Alive,10.46024,9.539761
Purple,0,52,Dead,Alive,13.56027,6.439727
Purple,0,52,Dead,Alive,10.72025,9.279755
Purple,0,52,Dead,Alive,14.78027,5.219728
Draw,0,0,Alive,Alive,,0.01973285
Purple,0,50,Dead,Alive,13.44027,6.559727
Purple,0,50,Dead,Alive,9.680222,10.31978
Draw,0,0,Alive,Alive,,0.01973285
Draw,11,35,Dead,Alive,,0.01973285
Purple,0,52,Dead,Alive,9.660221,10.33978
Purple,10,30,Dead,Alive,10.60024,9.399757
Draw,1,0,Alive,Alive,,0.01973285
Purple,0,50,Dead,Alive,11.08025,8.919746
Draw,0,25,Dead,Alive,,0.01973285
Purple,0,50,Dead,Alive,12.28027,7.719726
Purple,0,52,Dead,Alive,11.36026,8.63974
Draw,0,11,Alive,Alive,,0.01973285
Purple,0,52,Dead,Alive,11.10025,8.899746
Draw,0,0,Alive,Alive,,0.01973285
Purple,0,54,Dead,Alive,12.02027,7.979726
Purple,0,50,Dead,Alive,10.48024,9.51976
Purple,10,50,Dead,Alive,19.56027,0.4397329
Purple,0,50,Dead,Alive,16.56027,3.43973
Draw,10,10,Alive,Alive,,0.01973285
Purple,0,50,Dead,Alive,8.620197,11.3798
Purple,0,40,Dead,Alive,14.94027,5.059729
Draw,0,0,Alive,Alive,,0.01973285
Purple,0,52,Dead,Alive,12.42027,7.579726
Draw,1,25,Dead,Alive,,0.01973285
Purple,0,52,Dead,Alive,9.020206,10.97979
Purple,1,72,Dead,Alive,16.04027,3.95973
Draw,0,5,Alive,Alive,,0.01973285
Purple,2,90,Dead,Alive,19.14027,0.8597326
Purple,5,30,Dead,Alive,10.34024,9.659763
Purple,1,70,Dead,Alive,13.06027,6.939727
Purple,10,50,Dead,Alive,19.44027,0.5597329
Draw,0,0,Alive,Alive,,0.01973285
Purple,0,40,Dead,Alive,9.780224,10.21978
Purple,0,40,Dead,Alive,11.54026,8.459736
Purple,1,72,Dead,Alive,18.64027,1.359732
Purple,2,90,Dead,Alive,19.50027,0.4997329
Purple,0,52,Dead,Alive,11.76027,8.239731
Draw,0,5,Alive,Alive,,0.01973285
Purple,0,50,Dead,Alive,10.70024,9.299755
Purple,0,54,Dead,Alive,18.24027,1.759732
Draw,0,0,Alive,Alive,,0.01973285
Purple,7,60,Dead,Alive,18.18027,1.819732
Purple,11,60,Dead,Alive,18.58027,1.419732
Purple,0,52,Dead,Alive,11.70027,8.299732
Purple,10,52,Dead,Alive,13.64027,6.359727
Purple,1,60,Dead,Alive,17.88027,2.119731
Draw,0,26,Dead,Alive,,0.01973285
Purple,1,70,Dead,Alive,19.18027,0.8197327
Purple,0,30,Dead,Alive,10.54024,9.459759
Purple,0,50,Dead,Alive,15.62027,4.379729
Purple,0,52,Dead,Alive,14.04027,5.959728
Draw,0,10,Alive,Alive,,0.01973285
Purple,0,50,Dead,Alive,17.60027,2.399731
Draw,0,25,Dead,Alive,,0.01973285
Purple,1,70,Dead,Alive,11.62027,8.379734
Draw,1,5,Alive,Alive,,0.01973285
Purple,0,42,Dead,Alive,13.90027,6.099728
Purple,0,52,Dead,Alive,19.14027,0.8597326
Draw,0,0,Alive,Alive,,0.01973285
Purple,0,40,Dead,Alive,11.96027,8.039726
Purple,0,52,Dead,Alive,14.94027,5.059729
Draw,5,15,Dead,Alive,,0.01973285
Draw,0,10,Alive,Alive,,0.01973285
Draw,0,0,Alive,Alive,,0.01973285
Purple,0,52,Dead,Alive,11.50026,8.499737
Draw,0,0,Alive,Alive,,0.01973285
Draw,10,10,Alive,Alive,,0.01973285
Draw,0,0,Alive,Alive,,0.01973285
Purple,0,30,Dead,Alive,9.740223,10.25978
Draw,0,0,Alive,Alive,,0.01973285
Purple,0,52,Dead,Alive,11.40026,8.599739
Draw,12,25,Dead,Alive,,0.01973285
Draw,1,10,Alive,Alive,,0.01973285
Draw,0,10,Alive,Alive,,0.01973285
Draw,0,10,Alive,Alive,,0.01973285
Draw,1,36,Dead,Alive,,0.01973285
Draw,0,0,Alive,Alive,,0.01973285
Draw,1,35,Dead,Alive,,0.01973285
Draw,0,1,Alive,Alive,,0.01973285
Purple,6,40,Dead,Alive,12.32027,7.679726
