Winner, Blue Score, Purple Score, Blue State, Purple State, Time to Goal, Time Left
Purple,0,50,Dead,Alive,10.28024,9.719765
Purple,0,30,Dead,Alive,10.16023,9.839767
Purple,0,50,Dead,Alive,9.960228,10.03977
Purple,0,50,Dead,Alive,8.760201,11.2398
Purple,0,50,Dead,Alive,8.560196,11.4398
Purple,0,30,Dead,Alive,9.120209,10.87979
Purple,0,50,Dead,Alive,7.360168,12.63983
Purple,10,50,Dead,Alive,14.12027,5.879728
Purple,0,52,Dead,Alive,8.900204,11.0998
Purple,0,50,Dead,Alive,8.680199,11.3198
Purple,0,50,Dead,Alive,8.860203,11.1398
Purple,0,30,Dead,Alive,10.10023,9.899769
Purple,0,40,Dead,Alive,8.420193,11.57981
Purple,0,50,Dead,Alive,14.62027,5.379728
Purple,0,50,Dead,Alive,9.240211,10.75979
Purple,5,30,Dead,Alive,9.240211,10.75979
Purple,0,50,Dead,Alive,7.200164,12.79984
Purple,0,20,Alive,Alive,10.90025,9.099751
Purple,0,50,Dead,Alive,9.720222,10.27978
Purple,0,50,Dead,Alive,15.78027,4.219729
Purple,0,40,Dead,Alive,7.480171,12.51983
Purple,0,52,Dead,Alive,16.86027,3.13973
Purple,5,34,Dead,Alive,12.12027,7.879726
Purple,0,50,Dead,Alive,10.92025,9.07975
Purple,0,50,Dead,Alive,7.500171,12.49983
Purple,0,20,Alive,Alive,9.480217,10.51978
Purple,0,50,Dead,Alive,12.28027,7.719726
Purple,0,50,Dead,Alive,10.20023,9.799767
Purple,0,52,Dead,Alive,15.32027,4.679729
Purple,0,50,Dead,Alive,9.560219,10.43978
Purple,10,50,Dead,Alive,8.920204,11.0798
Purple,0,40,Dead,Alive,11.00025,8.999748
Purple,10,52,Dead,Alive,11.18026,8.819744
Purple,10,30,Dead,Alive,7.860179,12.13982
Purple,0,52,Dead,Alive,18.34027,1.659732
Purple,0,50,Dead,Alive,8.220188,11.77981
Purple,0,50,Dead,Alive,9.100208,10.89979
Purple,0,52,Dead,Alive,15.12027,4.879729
Purple,0,42,Dead,Alive,14.98027,5.019729
Purple,0,50,Dead,Alive,11.30026,8.699741
Purple,0,50,Dead,Alive,14.12027,5.879728
Purple,0,50,Dead,Alive,8.100185,11.89981
Purple,0,50,Dead,Alive,8.020184,11.97982
Purple,0,32,Dead,Alive,10.74025,9.259754
Purple,0,52,Dead,Alive,17.74027,2.259731
Purple,0,50,Dead,Alive,15.64027,4.359729
Purple,0,50,Dead,Alive,15.00027,4.999729
Purple,0,52,Dead,Alive,7.500171,12.49983
Purple,0,52,Dead,Alive,12.92027,7.079727
Purple,0,50,Dead,Alive,7.920181,12.07982
Purple,0,50,Dead,Alive,10.06023,9.93977
Draw,0,20,Dead,Alive,,0.01973285
Purple,0,40,Dead,Alive,14.34027,5.659728
Purple,0,50,Dead,Alive,7.760177,12.23982
Purple,10,50,Dead,Alive,8.400192,11.59981
Purple,0,50,Dead,Alive,13.06027,6.939727
Purple,0,50,Dead,Alive,7.520172,12.47983
Draw,0,11,Alive,Alive,,0.01973285
Purple,0,50,Dead,Alive,11.88027,8.119728
Purple,10,50,Dead,Alive,8.560196,11.4398
Purple,0,50,Dead,Alive,9.280212,10.71979
Purple,0,50,Dead,Alive,10.88025,9.119751
Purple,0,20,Alive,Alive,14.74027,5.259728
Purple,0,52,Dead,Alive,9.60022,10.39978
Purple,0,50,Dead,Alive,17.02027,2.979731
Purple,5,40,Dead,Alive,9.480217,10.51978
Purple,0,50,Dead,Alive,12.02027,7.979726
Purple,0,50,Dead,Alive,12.10027,7.899726
Purple,0,50,Dead,Alive,8.580196,11.4198
Draw,0,25,Dead,Alive,,0.01973285
Purple,0,52,Dead,Alive,12.76027,7.239727
Purple,0,50,Dead,Alive,8.900204,11.0998
Purple,10,50,Dead,Alive,16.82027,3.17973
Purple,5,30,Dead,Alive,9.540218,10.45978
Purple,0,50,Dead,Alive,15.24027,4.759729
Purple,0,40,Dead,Alive,10.74025,9.259754
Purple,0,42,Dead,Alive,10.70024,9.299755
Purple,5,30,Dead,Alive,13.14027,6.859727
Purple,0,30,Dead,Alive,10.04023,9.95977
Draw,0,26,Dead,Alive,,0.01973285
Purple,0,50,Dead,Alive,7.90018,12.09982
Draw,25,0,Alive,Dead,,0.01973285
Purple,0,50,Dead,Alive,15.18027,4.819729
Purple,0,30,Dead,Alive,8.640198,11.3598
Purple,0,42,Dead,Alive,15.20027,4.799729
Purple,0,50,Dead,Alive,9.680222,10.31978
Purple,0,52,Dead,Alive,15.80027,4.199729
Purple,0,50,Dead,Alive,9.760223,10.23978
Purple,0,52,Dead,Alive,14.60027,5.399728
Purple,0,52,Dead,Alive,19.44027,0.5597329
Draw,0,0,Alive,Alive,,0.01973285
Purple,0,0,Alive,Alive,10.78025,9.219753
Purple,0,50,Dead,Alive,9.820225,10.17978
Draw,0,1,Alive,Alive,,0.01973285
Purple,0,30,Dead,Alive,13.22027,6.779727
Draw,5,15,Dead,Alive,,0.01973285
Purple,0,50,Dead,Alive,7.940181,12.05982
Purple,0,40,Dead,Alive,11.36026,8.63974
Draw,0,0,Alive,Alive,,0.01973285
Purple,0,50,Dead,Alive,15.38027,4.619729
