Winner, Blue Score, Purple Score, Blue State, Purple State, Time to Goal, Time Left
Purple,0,50,Dead,Alive,7.480171,12.51983
Purple,0,30,Dead,Alive,10.08023,9.919769
Purple,0,50,Dead,Alive,8.680199,11.3198
Purple,0,50,Dead,Alive,8.860203,11.1398
Purple,0,50,Dead,Alive,11.48026,8.519737
Purple,0,40,Dead,Alive,9.60022,10.39978
Purple,0,50,Dead,Alive,11.58027,8.419735
Purple,0,50,Dead,Alive,9.840225,10.15977
Purple,0,50,Dead,Alive,10.34024,9.659763
Purple,0,50,Dead,Alive,7.760177,12.23982
Purple,0,50,Dead,Alive,12.68027,7.319726
Purple,0,50,Dead,Alive,10.62024,9.379757
Purple,0,30,Dead,Alive,9.840225,10.15977
Purple,0,50,Dead,Alive,7.500171,12.49983
Purple,0,50,Dead,Alive,10.22023,9.779766
Purple,0,50,Dead,Alive,12.58027,7.419726
Purple,0,50,Dead,Alive,11.18026,8.819744
Purple,0,50,Dead,Alive,7.060161,12.93984
Purple,0,50,Dead,Alive,9.480217,10.51978
Purple,0,50,Dead,Alive,10.68024,9.319756
Purple,0,50,Dead,Alive,14.88027,5.119729
Purple,0,50,Dead,Alive,10.98025,9.019749
Purple,0,50,Dead,Alive,6.800155,13.19984
Purple,10,50,Dead,Alive,11.42026,8.579739
Purple,0,50,Dead,Alive,7.920181,12.07982
Purple,10,50,Dead,Alive,6.640152,13.35985
Purple,0,50,Dead,Alive,14.74027,5.259728
Purple,10,50,Dead,Alive,11.86027,8.139729
Purple,0,50,Dead,Alive,12.26027,7.739726
Purple,10,50,Dead,Alive,8.180187,11.81981
Purple,0,50,Dead,Alive,13.32027,6.679727
Purple,0,0,Alive,Alive,10.64024,9.359756
Purple,1,70,Dead,Alive,7.940181,12.05982
Purple,0,50,Dead,Alive,11.64027,8.359734
Purple,0,22,Alive,Alive,10.42024,9.579762
Purple,0,52,Dead,Alive,13.04027,6.959727
Purple,0,50,Dead,Alive,9.500217,10.49978
Purple,0,50,Dead,Alive,9.480217,10.51978
Purple,0,50,Dead,Alive,12.34027,7.659726
Purple,0,50,Dead,Alive,9.680222,10.31978
Purple,0,50,Dead,Alive,13.10027,6.899727
Purple,0,30,Dead,Alive,9.760223,10.23978
Purple,10,52,Dead,Alive,13.70027,6.299727
Purple,10,42,Dead,Alive,10.58024,9.419758
Purple,0,30,Dead,Alive,8.620197,11.3798
Purple,5,40,Dead,Alive,9.280212,10.71979
Purple,0,50,Dead,Alive,13.82027,6.179728
Purple,0,50,Dead,Alive,11.28026,8.719742
Purple,0,0,Alive,Alive,11.04025,8.959747
Purple,5,50,Dead,Alive,10.92025,9.07975
Purple,0,50,Dead,Alive,15.52027,4.479729
Purple,0,40,Dead,Alive,12.36027,7.639726
Purple,0,50,Dead,Alive,10.14023,9.859768
Purple,0,50,Dead,Alive,10.70024,9.299755
Purple,0,22,Alive,Alive,9.800224,10.19978
Purple,0,50,Dead,Alive,9.320213,10.67979
Purple,0,32,Dead,Alive,11.48026,8.519737
Draw,0,1,Alive,Alive,,0.01973285
Purple,0,40,Dead,Alive,6.14014,13.85986
Purple,0,50,Dead,Alive,11.68027,8.319733
Purple,0,50,Dead,Alive,10.62024,9.379757
Purple,0,50,Dead,Alive,12.54027,7.459726
Purple,10,50,Dead,Alive,15.54027,4.459729
Purple,0,50,Dead,Alive,8.32019,11.67981
Purple,0,50,Dead,Alive,12.20027,7.799726
Purple,0,40,Dead,Alive,16.46027,3.53973
Purple,0,50,Dead,Alive,8.040184,11.95982
Purple,0,50,Dead,Alive,10.62024,9.379757
Purple,0,50,Dead,Alive,12.12027,7.879726
Purple,0,50,Dead,Alive,12.46027,7.539726
Purple,0,50,Dead,Alive,12.12027,7.879726
Blue,52,0,Alive,Dead,16.88027,3.11973
Purple,0,50,Dead,Alive,9.480217,10.51978
Purple,10,52,Dead,Alive,12.32027,7.679726
Purple,0,30,Dead,Alive,9.300213,10.69979
Purple,0,20,Alive,Alive,8.200188,11.79981
Purple,10,50,Dead,Alive,10.02023,9.979771
Purple,5,30,Dead,Alive,14.72027,5.279728
Purple,0,50,Dead,Alive,16.18027,3.81973
Purple,10,50,Dead,Alive,12.30027,7.699726
Purple,0,40,Dead,Alive,9.260212,10.73979
Purple,0,40,Dead,Alive,9.100208,10.89979
Purple,0,40,Dead,Alive,13.18027,6.819727
Purple,0,50,Dead,Alive,13.38027,6.619727
Purple,10,52,Dead,Alive,16.62027,3.37973
Purple,0,32,Dead,Alive,12.42027,7.579726
Purple,0,50,Dead,Alive,12.78027,7.219727
Purple,0,32,Dead,Alive,9.500217,10.49978
Purple,0,30,Dead,Alive,13.00027,6.999727
Purple,0,50,Dead,Alive,18.56027,1.439732
Purple,0,30,Dead,Alive,8.820202,11.1798
Purple,0,50,Dead,Alive,17.32027,2.679731
Purple,5,40,Dead,Alive,11.78027,8.21973
Purple,0,40,Dead,Alive,15.06027,4.939729
Purple,0,50,Dead,Alive,16.38027,3.61973
Draw,10,10,Alive,Alive,,0.01973285
Purple,0,50,Dead,Alive,14.94027,5.059729
Purple,0,40,Dead,Alive,9.360214,10.63979
Purple,10,50,Dead,Alive,13.50027,6.499727
Purple,0,50,Dead,Alive,12.82027,7.179727
