Winner, Blue Score, Purple Score, Blue State, Purple State, Time to Goal, Time Left
Purple,0,50,Dead,Alive,6.840156,13.15984
Purple,10,40,Dead,Alive,9.020206,10.97979
Blue,52,10,Alive,Dead,10.20023,9.799767
Purple,0,50,Dead,Alive,4.660106,15.33989
Purple,10,40,Dead,Alive,9.360214,10.63979
Purple,0,50,Dead,Alive,9.020206,10.97979
Draw,25,25,Dead,Dead,,14.59988
Purple,10,50,Dead,Alive,9.040207,10.95979
Purple,0,50,Dead,Alive,8.240189,11.75981
Purple,11,60,Dead,Alive,10.18023,9.819767
Purple,10,50,Dead,Alive,7.500171,12.49983
Purple,11,40,Dead,Alive,11.86027,8.139729
Purple,0,50,Dead,Alive,8.800201,11.1998
Draw,20,20,Dead,Dead,,12.11982
Purple,10,50,Dead,Alive,7.060161,12.93984
Purple,0,40,Dead,Alive,7.920181,12.07982
Purple,0,40,Dead,Alive,8.020184,11.97982
Blue,20,1,Alive,Alive,14.86027,5.139729
Purple,0,50,Dead,Alive,6.160141,13.83986
Purple,0,40,Dead,Alive,8.160187,11.83981
Purple,10,50,Dead,Alive,9.280212,10.71979
Blue,42,20,Alive,Dead,10.82025,9.179752
Purple,0,50,Dead,Alive,8.940205,11.0598
Purple,1,60,Dead,Alive,9.820225,10.17978
Purple,10,50,Dead,Alive,7.02016,12.97984
Purple,10,52,Dead,Alive,13.30027,6.699727
Purple,10,50,Dead,Alive,8.900204,11.0998
Purple,0,50,Dead,Alive,7.560173,12.43983
Purple,0,52,Dead,Alive,8.880203,11.1198
Purple,0,50,Dead,Alive,7.780178,12.21982
Purple,10,50,Dead,Alive,13.66027,6.339727
Draw,21,20,Dead,Dead,,13.43985
Purple,10,42,Dead,Alive,7.220165,12.77983
Purple,0,40,Dead,Alive,8.680199,11.3198
Purple,0,42,Dead,Alive,10.64024,9.359756
Purple,0,40,Dead,Alive,7.800178,12.19982
Draw,25,20,Dead,Dead,,12.43983
Blue,50,10,Alive,Dead,8.700199,11.2998
Purple,0,50,Dead,Alive,8.360191,11.63981
Draw,25,0,Alive,Dead,,0.01973285
Purple,0,30,Dead,Alive,10.58024,9.419758
Purple,10,50,Dead,Alive,11.12025,8.879745
Purple,1,60,Dead,Alive,12.38027,7.619726
Purple,0,30,Dead,Alive,8.820202,11.1798
Purple,0,50,Dead,Alive,9.800224,10.19978
Purple,0,50,Dead,Alive,7.760177,12.23982
Purple,0,30,Dead,Alive,10.20023,9.799767
Draw,25,10,Alive,Dead,,0.01973285
Purple,10,32,Dead,Alive,8.760201,11.2398
Purple,0,50,Dead,Alive,7.640174,12.35983
Purple,1,40,Dead,Alive,15.76027,4.239729
Purple,0,50,Dead,Alive,9.300213,10.69979
Purple,0,50,Dead,Alive,9.420216,10.57978
Purple,10,50,Dead,Alive,12.26027,7.739726
Purple,10,40,Dead,Alive,10.34024,9.659763
Purple,0,40,Dead,Alive,9.420216,10.57978
Purple,10,30,Dead,Alive,8.780201,11.2198
Purple,5,40,Dead,Alive,8.940205,11.0598
Purple,10,40,Dead,Alive,10.12023,9.879768
Draw,21,10,Alive,Dead,,0.01973285
Purple,1,40,Dead,Alive,9.020206,10.97979
Draw,26,0,Alive,Dead,,0.01973285
Purple,10,50,Dead,Alive,6.760154,13.23985
Purple,1,50,Dead,Alive,11.74027,8.259731
Purple,10,50,Dead,Alive,10.40024,9.599762
Purple,10,52,Dead,Alive,8.360191,11.63981
Blue,20,1,Alive,Alive,16.50027,3.49973
Purple,0,50,Dead,Alive,8.30019,11.69981
Purple,0,40,Dead,Alive,13.16027,6.839727
Purple,1,60,Dead,Alive,16.72027,3.27973
Purple,0,50,Dead,Alive,7.620174,12.37983
Draw,26,10,Alive,Dead,,0.01973285
Purple,0,50,Dead,Alive,10.14023,9.859768
Draw,22,0,Alive,Dead,,0.01973285
Purple,0,40,Dead,Alive,6.420146,13.57985
Purple,0,50,Dead,Alive,12.08027,7.919726
Draw,26,20,Alive,Dead,,0.01973285
Blue,22,0,Alive,Alive,10.76025,9.239754
Purple,10,30,Dead,Alive,7.680175,12.31982
Purple,1,70,Dead,Alive,14.32027,5.679728
Purple,0,50,Dead,Alive,9.100208,10.89979
Purple,10,40,Dead,Alive,10.72025,9.279755
Blue,40,0,Alive,Dead,9.940228,10.05977
Blue,32,5,Alive,Dead,15.16027,4.839729
Draw,25,0,Alive,Dead,,0.01973285
Draw,26,0,Alive,Dead,,0.01973285
Purple,0,50,Dead,Alive,11.08025,8.919746
Purple,0,50,Dead,Alive,7.00016,12.99984
Purple,0,50,Dead,Alive,7.320167,12.67983
Draw,25,0,Alive,Dead,,0.01973285
Purple,0,40,Dead,Alive,8.980206,11.01979
Purple,11,60,Dead,Alive,17.98027,2.019732
Purple,11,50,Dead,Alive,18.82027,1.179732
Purple,11,40,Dead,Alive,10.68024,9.319756
Purple,1,70,Dead,Alive,12.96027,7.039727
Purple,6,40,Dead,Alive,12.90027,7.099727
Purple,10,50,Dead,Alive,8.420193,11.57981
Draw,25,0,Alive,Dead,,0.01973285
Draw,26,0,Alive,Dead,,0.01973285
Purple,6,70,Dead,Alive,8.620197,11.3798
