Winner, Blue Score, Purple Score, Blue State, Purple State, Time to Goal, Time Left
Purple,10,50,Dead,Alive,8.940205,11.0598
Blue,0,5,Alive,Alive,8.820202,11.1798
Blue,2,0,Alive,Alive,11.50026,8.499737
Purple,10,40,Dead,Alive,4.480102,15.5199
Purple,0,32,Dead,Alive,7.540172,12.45983
Purple,0,50,Dead,Alive,7.240165,12.75983
Purple,1,70,Dead,Alive,10.28024,9.719765
Purple,0,40,Dead,Alive,7.240165,12.75983
Purple,0,50,Dead,Alive,8.880203,11.1198
Blue,0,1,Alive,Alive,8.200188,11.79981
Blue,2,0,Alive,Alive,10.10023,9.899769
Purple,10,50,Dead,Alive,9.720222,10.27978
Blue,2,0,Alive,Alive,7.920181,12.07982
Purple,0,50,Dead,Alive,8.540195,11.4598
Purple,10,40,Dead,Alive,6.100139,13.89986
Blue,0,0,Alive,Alive,7.840179,12.15982
Blue,0,0,Alive,Alive,8.060184,11.93982
Purple,10,50,Dead,Alive,7.100162,12.89984
Purple,10,52,Dead,Alive,13.10027,6.899727
Blue,20,0,Alive,Alive,8.060184,11.93982
Purple,0,50,Dead,Alive,6.980159,13.01984
Blue,50,10,Alive,Dead,7.580173,12.41983
Blue,2,0,Alive,Alive,10.00023,9.999771
Purple,0,40,Dead,Alive,9.700222,10.29978
Purple,0,50,Dead,Alive,10.56024,9.439758
Blue,50,0,Alive,Dead,8.660198,11.3398
Blue,0,5,Alive,Alive,8.440193,11.55981
Purple,0,40,Dead,Alive,10.72025,9.279755
Purple,0,40,Dead,Alive,7.180164,12.81984
Purple,0,40,Dead,Alive,10.88025,9.119751
Blue,2,0,Alive,Alive,10.22023,9.779766
Purple,0,50,Dead,Alive,6.180141,13.81986
Purple,0,50,Dead,Alive,11.06025,8.939747
Blue,52,10,Alive,Dead,10.50024,9.49976
Blue,0,0,Alive,Alive,8.460194,11.53981
Purple,0,30,Dead,Alive,9.440216,10.55978
Purple,0,50,Dead,Alive,8.920204,11.0798
Blue,0,0,Alive,Alive,8.820202,11.1798
Purple,0,50,Dead,Alive,8.840202,11.1598
Blue,2,0,Alive,Alive,10.48024,9.51976
Blue,0,0,Alive,Alive,7.800178,12.19982
Blue,0,11,Alive,Alive,11.36026,8.63974
Blue,0,0,Alive,Alive,8.100185,11.89981
Purple,0,50,Dead,Alive,9.920227,10.07977
Blue,2,0,Alive,Alive,9.460217,10.53978
Blue,0,0,Alive,Alive,9.080208,10.91979
Purple,10,50,Dead,Alive,10.90025,9.099751
Blue,0,10,Alive,Alive,11.62027,8.379734
Purple,5,40,Dead,Alive,6.880157,13.11984
Purple,10,50,Dead,Alive,8.620197,11.3798
Purple,10,50,Dead,Alive,7.260166,12.73983
Purple,11,70,Dead,Alive,12.52027,7.479726
Purple,10,40,Dead,Alive,8.680199,11.3198
Purple,0,40,Dead,Alive,8.140186,11.85981
Purple,10,50,Dead,Alive,10.98025,9.019749
Blue,0,0,Alive,Alive,8.900204,11.0998
Purple,0,50,Dead,Alive,10.86025,9.139751
Purple,0,40,Dead,Alive,11.06025,8.939747
Purple,0,40,Dead,Alive,6.460147,13.53985
Purple,0,42,Dead,Alive,10.46024,9.539761
Blue,22,0,Alive,Alive,12.02027,7.979726
Purple,10,30,Dead,Alive,7.46017,12.53983
Purple,1,70,Dead,Alive,13.28027,6.719727
Purple,10,50,Dead,Alive,10.20023,9.799767
Blue,0,0,Alive,Alive,8.000183,11.99982
Purple,0,30,Dead,Alive,8.440193,11.55981
Purple,0,50,Dead,Alive,10.10023,9.899769
Blue,0,0,Alive,Alive,8.180187,11.81981
Purple,0,50,Dead,Alive,17.14027,2.859731
Purple,0,52,Dead,Alive,8.32019,11.67981
Purple,0,40,Dead,Alive,14.64027,5.359728
Purple,0,50,Dead,Alive,7.920181,12.07982
Blue,0,0,Alive,Alive,11.28026,8.719742
Blue,0,0,Alive,Alive,12.38027,7.619726
Purple,10,50,Dead,Alive,6.12014,13.87986
Purple,0,40,Dead,Alive,7.620174,12.37983
Purple,0,30,Dead,Alive,8.180187,11.81981
Purple,0,50,Dead,Alive,7.860179,12.13982
Purple,0,50,Dead,Alive,9.320213,10.67979
Draw,0,10,Alive,Alive,,0.01973285
Purple,0,50,Dead,Alive,8.7402,11.2598
Blue,52,20,Alive,Dead,13.82027,6.179728
Blue,0,5,Alive,Alive,13.80027,6.199728
Purple,10,30,Dead,Alive,9.16021,10.83979
Purple,0,50,Dead,Alive,8.28019,11.71981
Purple,0,30,Dead,Alive,7.620174,12.37983
Blue,30,5,Alive,Dead,7.080162,12.91984
Draw,16,5,Alive,Dead,,0.01973285
Blue,22,0,Alive,Alive,10.26023,9.739765
Blue,0,5,Alive,Alive,9.560219,10.43978
Blue,0,10,Alive,Alive,12.70027,7.299726
Blue,2,0,Alive,Alive,11.72027,8.279732
Purple,0,50,Dead,Alive,13.10027,6.899727
Purple,0,32,Dead,Alive,8.600197,11.3998
Blue,0,5,Alive,Alive,8.580196,11.4198
Purple,1,60,Dead,Alive,9.740223,10.25978
Blue,0,1,Alive,Alive,12.34027,7.659726
Purple,0,50,Dead,Alive,7.280166,12.71983
Purple,0,50,Dead,Alive,15.66027,4.339729
Purple,1,60,Dead,Alive,14.88027,5.119729
