Winner, Blue Score, Purple Score, Blue State, Purple State, Time to Goal, Time Left
Purple,0,50,Dead,Alive,8.260189,11.73981
Purple,0,50,Dead,Alive,8.7202,11.2798
Purple,0,50,Dead,Alive,7.780178,12.21982
Purple,0,50,Dead,Alive,7.980182,12.01982
Purple,0,50,Dead,Alive,7.44017,12.55983
Purple,10,50,Dead,Alive,13.34027,6.659727
Purple,0,50,Dead,Alive,8.360191,11.63981
Purple,0,50,Dead,Alive,8.840202,11.1598
Purple,0,50,Dead,Alive,7.120162,12.87984
Purple,10,50,Dead,Alive,7.980182,12.01982
Purple,0,50,Dead,Alive,12.00027,7.999726
Purple,0,40,Dead,Alive,7.720176,12.27982
Purple,0,50,Dead,Alive,7.620174,12.37983
Purple,0,50,Dead,Alive,8.020184,11.97982
Purple,0,30,Dead,Alive,10.70024,9.299755
Purple,0,50,Dead,Alive,6.880157,13.11984
Purple,0,50,Dead,Alive,7.200164,12.79984
Purple,0,52,Dead,Alive,13.28027,6.719727
Purple,0,50,Dead,Alive,7.140163,12.85984
Purple,0,30,Dead,Alive,11.70027,8.299732
Purple,0,50,Dead,Alive,8.880203,11.1198
Purple,0,50,Dead,Alive,8.020184,11.97982
Purple,1,60,Dead,Alive,11.98027,8.019726
Purple,10,50,Dead,Alive,7.640174,12.35983
Purple,0,30,Dead,Alive,9.780224,10.21978
Purple,1,70,Dead,Alive,9.500217,10.49978
Purple,0,50,Dead,Alive,7.580173,12.41983
Purple,1,70,Dead,Alive,9.660221,10.33978
Purple,0,40,Dead,Alive,9.080208,10.91979
Purple,0,52,Dead,Alive,12.50027,7.499726
Purple,0,50,Dead,Alive,7.360168,12.63983
Purple,0,40,Dead,Alive,8.120186,11.87981
Purple,0,40,Dead,Alive,14.52027,5.479728
Purple,0,30,Dead,Alive,9.920227,10.07977
Purple,0,30,Dead,Alive,10.00023,9.999771
Purple,0,50,Dead,Alive,12.62027,7.379726
Purple,1,60,Dead,Alive,9.800224,10.19978
Purple,0,50,Dead,Alive,9.200211,10.79979
Purple,0,50,Dead,Alive,7.620174,12.37983
Purple,0,50,Dead,Alive,12.46027,7.539726
Purple,10,30,Dead,Alive,8.920204,11.0798
Purple,0,40,Dead,Alive,12.04027,7.959726
Purple,0,50,Dead,Alive,6.640152,13.35985
Purple,10,50,Dead,Alive,8.620197,11.3798
Purple,0,50,Dead,Alive,16.10027,3.89973
Purple,0,50,Dead,Alive,14.42027,5.579728
Purple,11,50,Dead,Alive,14.98027,5.019729
Purple,0,30,Dead,Alive,11.66027,8.339733
Purple,6,50,Dead,Alive,7.980182,12.01982
Purple,0,50,Dead,Alive,9.420216,10.57978
Purple,0,50,Dead,Alive,8.500195,11.49981
Purple,10,42,Dead,Alive,10.86025,9.139751
Purple,0,50,Dead,Alive,17.00027,2.999731
Purple,1,60,Dead,Alive,15.12027,4.879729
Purple,0,50,Dead,Alive,7.820179,12.17982
Purple,0,40,Dead,Alive,15.44027,4.559729
Purple,0,50,Dead,Alive,6.900157,13.09984
Purple,0,40,Dead,Alive,8.500195,11.49981
Purple,0,52,Dead,Alive,9.16021,10.83979
Purple,11,70,Dead,Alive,19.68027,0.3197328
Draw,0,25,Dead,Alive,,0.01973285
Purple,0,50,Dead,Alive,11.10025,8.899746
Purple,0,30,Dead,Alive,12.20027,7.799726
Purple,0,52,Dead,Alive,9.580219,10.41978
Purple,0,50,Dead,Alive,7.640174,12.35983
Draw,0,21,Dead,Alive,,0.01973285
Purple,0,50,Dead,Alive,12.64027,7.359726
Purple,10,50,Dead,Alive,9.020206,10.97979
Purple,0,40,Dead,Alive,10.04023,9.95977
Purple,0,52,Dead,Alive,10.12023,9.879768
Draw,0,0,Alive,Alive,,0.01973285
Purple,0,50,Dead,Alive,7.02016,12.97984
Purple,0,50,Dead,Alive,7.680175,12.31982
Purple,0,50,Dead,Alive,17.28027,2.719731
Purple,0,50,Dead,Alive,10.24023,9.759766
Purple,0,52,Dead,Alive,15.48027,4.519729
Purple,10,52,Dead,Alive,14.06027,5.939728
Purple,1,50,Dead,Alive,17.52027,2.479731
Purple,10,40,Dead,Alive,11.06025,8.939747
Purple,0,50,Dead,Alive,7.940181,12.05982
Purple,0,50,Dead,Alive,10.78025,9.219753
Purple,0,42,Dead,Alive,16.56027,3.43973
Purple,0,52,Dead,Alive,19.46027,0.5397329
Purple,0,52,Dead,Alive,12.46027,7.539726
Purple,0,50,Dead,Alive,6.820156,13.17984
Purple,0,40,Dead,Alive,8.28019,11.71981
Purple,0,30,Dead,Alive,18.12027,1.879732
Purple,0,50,Dead,Alive,8.960205,11.03979
Purple,0,50,Dead,Alive,12.72027,7.279727
Draw,0,26,Dead,Alive,,0.01973285
Purple,0,50,Dead,Alive,11.92027,8.079727
Purple,0,30,Dead,Alive,12.38027,7.619726
Purple,0,42,Dead,Alive,9.500217,10.49978
Purple,10,50,Dead,Alive,14.98027,5.019729
Purple,0,50,Dead,Alive,19.40027,0.5997329
Purple,0,50,Dead,Alive,15.44027,4.559729
Purple,0,40,Dead,Alive,17.52027,2.479731
Purple,0,42,Dead,Alive,19.38027,0.6197329
Purple,0,50,Dead,Alive,13.62027,6.379727
Purple,0,50,Dead,Alive,7.040161,12.95984
