Winner, Blue Score, Purple Score, Blue State, Purple State, Time to Goal, Time Left
Blue,52,0,Alive,Dead,8.040184,11.95982
Blue,50,10,Alive,Dead,7.040161,12.95984
Blue,42,5,Alive,Dead,8.500195,11.49981
Purple,0,50,Dead,Alive,6.900157,13.09984
Purple,0,40,Dead,Alive,8.980206,11.01979
Purple,10,50,Dead,Alive,7.540172,12.45983
Blue,50,0,Alive,Dead,6.860157,13.13984
Blue,4,0,Alive,Alive,9.480217,10.51978
Purple,0,32,Dead,Alive,7.300167,12.69983
Blue,0,5,Alive,Alive,10.28024,9.719765
Purple,10,30,Dead,Alive,8.400192,11.59981
Blue,52,20,Alive,Dead,9.980228,10.01977
Blue,50,0,Alive,Dead,7.080162,12.91984
Blue,52,5,Alive,Dead,7.420169,12.57983
Blue,52,5,Alive,Dead,8.700199,11.2998
Purple,0,30,Dead,Alive,8.460194,11.53981
Blue,50,10,Alive,Dead,8.800201,11.1998
Purple,0,40,Dead,Alive,8.000183,11.99982
Blue,50,0,Alive,Dead,7.960182,12.03982
Blue,2,0,Alive,Alive,9.660221,10.33978
Blue,50,0,Alive,Dead,7.280166,12.71983
Purple,6,60,Dead,Alive,12.72027,7.279727
Purple,5,30,Dead,Alive,6.740154,13.25985
Blue,54,0,Alive,Dead,8.340191,11.65981
Blue,50,0,Alive,Dead,9.320213,10.67979
Blue,50,0,Alive,Dead,6.740154,13.25985
Blue,0,10,Alive,Alive,9.480217,10.51978
Blue,4,15,Alive,Alive,10.54024,9.459759
Blue,52,0,Alive,Dead,8.000183,11.99982
Blue,42,1,Alive,Alive,10.08023,9.919769
Purple,0,30,Dead,Alive,6.960159,13.03984
Purple,10,50,Dead,Alive,8.200188,11.79981
Blue,50,10,Alive,Dead,9.820225,10.17978
Blue,2,0,Alive,Alive,9.920227,10.07977
Blue,2,0,Alive,Alive,10.62024,9.379757
Blue,30,5,Alive,Dead,7.960182,12.03982
Blue,0,0,Alive,Alive,9.18021,10.81979
Blue,20,10,Alive,Alive,10.66024,9.339756
Blue,22,0,Alive,Alive,9.840225,10.15977
Blue,42,0,Alive,Dead,7.960182,12.03982
Purple,0,30,Dead,Alive,11.16026,8.839745
Blue,52,0,Alive,Dead,7.620174,12.37983
Purple,0,40,Dead,Alive,9.120209,10.87979
Purple,0,30,Dead,Alive,8.200188,11.79981
Blue,2,0,Alive,Alive,9.62022,10.37978
Purple,11,50,Dead,Alive,9.140209,10.85979
Blue,20,0,Alive,Alive,9.500217,10.49978
Blue,0,0,Alive,Alive,8.400192,11.59981
Blue,0,0,Alive,Alive,9.760223,10.23978
Blue,0,10,Alive,Alive,10.32024,9.679764
Blue,20,0,Alive,Alive,10.28024,9.719765
Purple,10,40,Dead,Alive,8.540195,11.4598
Blue,44,0,Alive,Dead,9.520218,10.47978
Blue,12,0,Alive,Alive,9.520218,10.47978
Purple,0,32,Dead,Alive,9.360214,10.63979
Purple,0,40,Dead,Alive,9.820225,10.17978
Blue,0,0,Alive,Alive,8.780201,11.2198
Blue,20,0,Alive,Alive,10.44024,9.559761
Blue,0,0,Alive,Alive,9.520218,10.47978
Purple,0,50,Dead,Alive,8.800201,11.1998
Blue,50,0,Alive,Dead,8.660198,11.3398
Purple,0,50,Dead,Alive,9.300213,10.69979
Blue,22,10,Alive,Alive,12.42027,7.579726
Blue,22,1,Alive,Alive,10.16023,9.839767
Purple,0,50,Dead,Alive,8.480194,11.51981
Draw,15,15,Dead,Dead,,13.93986
Purple,0,30,Dead,Alive,7.00016,12.99984
Draw,20,5,Alive,Dead,,0.01973285
Blue,54,0,Alive,Dead,8.580196,11.4198
Blue,50,0,Alive,Dead,8.660198,11.3398
Blue,50,0,Alive,Dead,8.920204,11.0798
Blue,20,0,Alive,Alive,15.06027,4.939729
Blue,30,10,Alive,Dead,7.44017,12.55983
Purple,0,30,Dead,Alive,8.160187,11.83981
Purple,0,40,Dead,Alive,10.84025,9.159752
Draw,25,25,Dead,Dead,,12.63983
Blue,20,1,Alive,Alive,9.62022,10.37978
Purple,10,50,Dead,Alive,7.680175,12.31982
Blue,50,0,Alive,Dead,9.700222,10.29978
Blue,30,5,Alive,Dead,17.86027,2.139731
Purple,0,50,Dead,Alive,9.500217,10.49978
Blue,0,1,Alive,Alive,9.920227,10.07977
Blue,0,10,Alive,Alive,9.860226,10.13977
Purple,0,50,Dead,Alive,11.30026,8.699741
Purple,0,50,Dead,Alive,11.90027,8.099728
Blue,2,0,Alive,Alive,12.12027,7.879726
Blue,0,0,Alive,Alive,9.700222,10.29978
Blue,2,10,Alive,Alive,12.16027,7.839726
Blue,20,0,Alive,Alive,9.60022,10.39978
Purple,10,50,Dead,Alive,9.140209,10.85979
Blue,2,0,Alive,Alive,9.680222,10.31978
Blue,22,0,Alive,Alive,10.98025,9.019749
Purple,1,40,Dead,Alive,9.18021,10.81979
Blue,6,0,Alive,Alive,11.72027,8.279732
Purple,0,50,Dead,Alive,12.46027,7.539726
Purple,5,40,Dead,Alive,10.42024,9.579762
Purple,1,52,Dead,Alive,13.08027,6.919727
Blue,0,10,Alive,Alive,10.86025,9.139751
Blue,22,0,Alive,Alive,10.04023,9.95977
Blue,20,11,Alive,Alive,10.36024,9.639763
