Winner, Blue Score, Purple Score, Blue State, Purple State, Time to Goal, Time Left
Purple,5,30,Dead,Alive,7.480171,12.51983
Purple,5,32,Dead,Alive,10.68024,9.319756
Purple,0,50,Dead,Alive,9.000206,10.99979
Purple,0,50,Dead,Alive,10.38024,9.619762
Purple,0,50,Dead,Alive,7.580173,12.41983
Purple,0,50,Dead,Alive,7.540172,12.45983
Purple,0,50,Dead,Alive,10.10023,9.899769
Purple,10,40,Dead,Alive,10.74025,9.259754
Blue,50,10,Alive,Dead,13.78027,6.219728
Blue,50,0,Alive,Dead,9.820225,10.17978
Blue,40,5,Alive,Dead,8.30019,11.69981
Purple,10,50,Dead,Alive,7.960182,12.03982
Purple,10,50,Dead,Alive,11.08025,8.919746
Purple,10,50,Dead,Alive,14.00027,5.999728
Draw,25,25,Dead,Dead,,6.599727
Purple,0,50,Dead,Alive,17.72027,2.279731
Blue,52,0,Alive,Dead,9.380215,10.61979
Purple,0,42,Dead,Alive,11.88027,8.119728
Purple,5,30,Dead,Alive,8.100185,11.89981
Purple,5,50,Dead,Alive,8.500195,11.49981
Purple,5,40,Dead,Alive,9.080208,10.91979
Purple,0,30,Dead,Alive,11.50026,8.499737
Draw,10,10,Alive,Alive,,0.01973285
Blue,50,10,Alive,Dead,8.7202,11.2798
Purple,0,50,Dead,Alive,7.800178,12.19982
Purple,10,50,Dead,Alive,7.980182,12.01982
Purple,0,40,Dead,Alive,13.08027,6.919727
Purple,10,50,Dead,Alive,14.82027,5.179729
Purple,0,50,Dead,Alive,16.00027,3.99973
Blue,52,0,Alive,Dead,7.860179,12.13982
Purple,0,52,Dead,Alive,9.380215,10.61979
Purple,5,40,Dead,Alive,7.380168,12.61983
Purple,0,50,Dead,Alive,6.820156,13.17984
Purple,11,70,Dead,Alive,17.00027,2.999731
Draw,25,0,Alive,Dead,,0.01973285
Purple,0,50,Dead,Alive,11.94027,8.059727
Purple,10,52,Dead,Alive,8.520195,11.4798
Draw,15,5,Alive,Dead,,0.01973285
Blue,50,0,Alive,Dead,9.480217,10.51978
Purple,0,50,Dead,Alive,10.66024,9.339756
Purple,10,50,Dead,Alive,8.700199,11.2998
Purple,10,0,Alive,Alive,15.18027,4.819729
Purple,10,50,Dead,Alive,9.280212,10.71979
Purple,10,50,Dead,Alive,17.14027,2.859731
Blue,50,0,Alive,Dead,10.30024,9.699764
Purple,10,50,Dead,Alive,7.02016,12.97984
Purple,0,50,Dead,Alive,7.480171,12.51983
Blue,50,0,Alive,Dead,13.60027,6.399727
Purple,10,50,Dead,Alive,13.44027,6.559727
Draw,10,20,Dead,Alive,,0.01973285
Draw,25,10,Alive,Dead,,0.01973285
Blue,42,0,Alive,Dead,9.16021,10.83979
Blue,50,0,Alive,Dead,11.62027,8.379734
Purple,0,52,Dead,Alive,6.900157,13.09984
Purple,10,50,Dead,Alive,18.16027,1.839732
Blue,50,0,Alive,Dead,7.100162,12.89984
Purple,0,50,Dead,Alive,9.920227,10.07977
Purple,10,50,Dead,Alive,10.06023,9.93977
Draw,25,0,Alive,Dead,,0.01973285
Draw,25,10,Alive,Dead,,0.01973285
Purple,10,50,Dead,Alive,9.800224,10.19978
Blue,20,0,Alive,Alive,13.78027,6.219728
Draw,25,25,Dead,Dead,,6.279727
Purple,20,52,Dead,Alive,18.80027,1.199732
Purple,10,42,Dead,Alive,11.00025,8.999748
Draw,25,10,Alive,Dead,,0.01973285
Purple,0,50,Dead,Alive,10.18023,9.819767
Purple,0,50,Dead,Alive,10.64024,9.359756
Draw,25,5,Alive,Dead,,0.01973285
Purple,10,50,Dead,Alive,9.200211,10.79979
Draw,26,0,Alive,Dead,,0.01973285
Purple,0,50,Dead,Alive,7.90018,12.09982
Purple,0,40,Dead,Alive,6.640152,13.35985
Draw,25,0,Alive,Dead,,0.01973285
Blue,40,0,Alive,Dead,16.82027,3.17973
Draw,25,10,Alive,Dead,,0.01973285
Purple,10,0,Alive,Alive,3.920089,16.07991
Purple,0,50,Dead,Alive,7.960182,12.03982
Draw,25,10,Alive,Dead,,0.01973285
Draw,25,0,Alive,Dead,,0.01973285
Purple,0,50,Dead,Alive,15.76027,4.239729
Purple,0,40,Dead,Alive,6.900157,13.09984
Purple,0,50,Dead,Alive,14.04027,5.959728
Purple,0,50,Dead,Alive,16.84027,3.15973
Purple,10,52,Dead,Alive,19.72027,0.2797328
Draw,10,25,Dead,Alive,,0.01973285
Draw,20,20,Dead,Dead,,12.85984
Draw,25,0,Alive,Dead,,0.01973285
Purple,0,50,Dead,Alive,11.52026,8.479736
Draw,25,0,Alive,Dead,,0.01973285
Purple,10,50,Dead,Alive,14.30027,5.699728
Purple,0,50,Dead,Alive,14.62027,5.379728
Draw,25,10,Alive,Dead,,0.01973285
Blue,52,0,Alive,Dead,15.70027,4.299729
Purple,5,30,Dead,Alive,14.16027,5.839728
Draw,25,10,Alive,Dead,,0.01973285
Draw,25,10,Alive,Dead,,0.01973285
Purple,10,20,Alive,Alive,12.42027,7.579726
Draw,26,0,Alive,Dead,,0.01973285
Draw,25,10,Alive,Dead,,0.01973285
