Winner, Blue Score, Purple Score, Blue State, Purple State, Time to Goal, Time Left
Blue,0,0,Alive,Alive,9.360214,10.63979
Purple,10,40,Dead,Alive,7.520172,12.47983
Draw,25,25,Dead,Dead,,15.27989
Purple,0,50,Dead,Alive,6.320144,13.67986
Purple,0,42,Dead,Alive,6.160141,13.83986
Draw,20,20,Dead,Dead,,13.23985
Purple,0,50,Dead,Alive,7.540172,12.45983
Purple,11,70,Dead,Alive,9.340214,10.65979
Purple,0,40,Dead,Alive,6.720153,13.27985
Purple,5,30,Dead,Alive,8.200188,11.79981
Blue,40,0,Alive,Dead,7.760177,12.23982
Purple,0,40,Dead,Alive,8.360191,11.63981
Purple,0,40,Dead,Alive,7.88018,12.11982
Purple,10,30,Dead,Alive,6.640152,13.35985
Purple,10,32,Dead,Alive,8.260189,11.73981
Blue,0,10,Alive,Alive,9.320213,10.67979
Blue,0,0,Alive,Alive,8.260189,11.73981
Purple,0,30,Dead,Alive,5.26012,14.73988
Blue,20,10,Alive,Alive,10.58024,9.419758
Purple,0,50,Dead,Alive,5.960136,14.03986
Purple,0,50,Dead,Alive,7.120162,12.87984
Blue,0,0,Alive,Alive,9.420216,10.57978
Purple,10,50,Dead,Alive,6.800155,13.19984
Blue,20,10,Alive,Alive,9.760223,10.23978
Blue,50,0,Alive,Dead,6.280143,13.71986
Draw,25,25,Dead,Dead,,14.21987
Purple,0,40,Dead,Alive,7.500171,12.49983
Purple,10,50,Dead,Alive,6.360145,13.63985
Blue,0,5,Alive,Alive,10.66024,9.339756
Blue,0,0,Alive,Alive,10.44024,9.559761
Purple,0,50,Dead,Alive,7.46017,12.53983
Purple,0,50,Dead,Alive,5.860134,14.13987
Draw,25,25,Dead,Dead,,13.21984
Purple,10,50,Dead,Alive,7.90018,12.09982
Blue,0,0,Alive,Alive,13.06027,6.939727
Blue,0,0,Alive,Alive,8.960205,11.03979
Draw,25,25,Dead,Dead,,13.41985
Blue,2,10,Alive,Alive,9.60022,10.39978
Purple,10,50,Dead,Alive,6.360145,13.63985
Blue,2,10,Alive,Alive,10.86025,9.139751
Blue,0,0,Alive,Alive,9.560219,10.43978
Purple,0,50,Dead,Alive,8.480194,11.51981
Purple,1,60,Dead,Alive,8.840202,11.1598
Purple,6,40,Dead,Alive,9.980228,10.01977
Purple,0,50,Dead,Alive,6.480148,13.51985
Blue,0,0,Alive,Alive,8.500195,11.49981
Purple,10,50,Dead,Alive,11.06025,8.939747
Purple,0,50,Dead,Alive,8.080185,11.91982
Blue,30,5,Alive,Dead,8.620197,11.3798
Purple,5,30,Dead,Alive,8.660198,11.3398
Purple,0,30,Dead,Alive,14.04027,5.959728
Purple,10,40,Dead,Alive,6.800155,13.19984
Purple,0,50,Dead,Alive,7.520172,12.47983
Blue,0,10,Alive,Alive,10.42024,9.579762
Purple,0,50,Dead,Alive,7.340168,12.65983
Purple,10,40,Dead,Alive,6.900157,13.09984
Purple,0,52,Dead,Alive,17.92027,2.079731
Purple,0,50,Dead,Alive,6.240142,13.75986
Purple,6,60,Dead,Alive,8.30019,11.69981
Purple,10,50,Dead,Alive,7.760177,12.23982
Purple,10,50,Dead,Alive,8.020184,11.97982
Purple,0,50,Dead,Alive,7.780178,12.21982
Purple,1,70,Dead,Alive,11.36026,8.63974
Blue,0,0,Alive,Alive,9.800224,10.19978
Purple,0,40,Dead,Alive,10.42024,9.579762
Purple,11,70,Dead,Alive,9.420216,10.57978
Purple,10,50,Dead,Alive,6.720153,13.27985
Blue,52,0,Alive,Dead,8.420193,11.57981
Purple,0,40,Dead,Alive,8.460194,11.53981
Purple,0,50,Dead,Alive,15.02027,4.979729
Purple,5,40,Dead,Alive,9.280212,10.71979
Purple,0,30,Dead,Alive,6.840156,13.15984
Blue,20,10,Alive,Alive,9.480217,10.51978
Blue,50,0,Alive,Dead,9.540218,10.45978
Blue,50,0,Alive,Dead,15.04027,4.959729
Purple,10,40,Dead,Alive,10.16023,9.839767
Purple,0,30,Dead,Alive,8.240189,11.75981
Blue,22,0,Alive,Alive,12.08027,7.919726
Purple,0,50,Dead,Alive,8.260189,11.73981
Purple,10,50,Dead,Alive,12.64027,7.359726
Blue,0,0,Alive,Alive,15.74027,4.259729
Purple,0,30,Dead,Alive,8.520195,11.4798
Purple,0,52,Dead,Alive,7.980182,12.01982
Purple,0,40,Dead,Alive,8.200188,11.79981
Purple,0,50,Dead,Alive,14.32027,5.679728
Purple,0,30,Dead,Alive,7.620174,12.37983
Blue,40,5,Alive,Dead,6.540149,13.45985
Blue,0,5,Alive,Alive,12.86027,7.139727
Blue,0,0,Alive,Alive,8.140186,11.85981
Blue,50,10,Alive,Dead,19.90027,0.09973285
Blue,0,0,Alive,Alive,8.340191,11.65981
Purple,0,50,Dead,Alive,7.920181,12.07982
Purple,11,70,Dead,Alive,14.56027,5.439728
Blue,52,5,Alive,Dead,19.14027,0.8597326
Purple,10,40,Dead,Alive,10.58024,9.419758
Blue,52,20,Alive,Dead,16.36027,3.63973
Purple,0,50,Dead,Alive,9.760223,10.23978
Purple,0,30,Dead,Alive,8.340191,11.65981
Purple,10,50,Dead,Alive,7.420169,12.57983
Blue,20,10,Alive,Alive,19.44027,0.5597329
