Winner, Blue Score, Purple Score, Blue State, Purple State, Time to Goal, Time Left
Purple,0,50,Dead,Alive,7.240165,12.75983
Purple,0,50,Dead,Alive,7.940181,12.05982
Purple,10,50,Dead,Alive,15.78027,4.219729
Purple,0,50,Dead,Alive,10.44024,9.559761
Purple,0,50,Dead,Alive,7.380168,12.61983
Purple,1,40,Alive,Alive,11.82027,8.179729
Purple,0,50,Dead,Alive,11.18026,8.819744
Purple,1,70,Dead,Alive,9.380215,10.61979
Purple,1,72,Dead,Alive,8.260189,11.73981
Purple,0,50,Dead,Alive,9.220211,10.77979
Purple,0,50,Dead,Alive,8.800201,11.1998
Purple,0,52,Dead,Alive,11.62027,8.379734
Purple,0,40,Dead,Alive,9.360214,10.63979
Purple,1,60,Dead,Alive,10.12023,9.879768
Purple,0,50,Dead,Alive,10.38024,9.619762
Purple,0,40,Dead,Alive,8.28019,11.71981
Purple,0,50,Dead,Alive,7.560173,12.43983
Purple,1,70,Dead,Alive,7.820179,12.17982
Blue,4,20,Alive,Alive,15.08027,4.919729
Purple,11,40,Dead,Alive,12.02027,7.979726
Purple,0,30,Dead,Alive,12.48027,7.519726
Purple,0,30,Dead,Alive,7.680175,12.31982
Purple,0,50,Dead,Alive,7.560173,12.43983
Purple,0,50,Dead,Alive,9.220211,10.77979
Purple,1,62,Dead,Alive,14.88027,5.119729
Purple,0,52,Dead,Alive,11.02025,8.979748
Purple,1,70,Dead,Alive,7.800178,12.19982
Purple,1,60,Dead,Alive,15.62027,4.379729
Purple,0,50,Dead,Alive,8.360191,11.63981
Purple,0,50,Dead,Alive,9.500217,10.49978
Purple,0,50,Dead,Alive,10.76025,9.239754
Purple,0,44,Dead,Alive,13.96027,6.039728
Purple,0,40,Dead,Alive,8.480194,11.51981
Purple,1,70,Dead,Alive,8.400192,11.59981
Purple,1,60,Dead,Alive,12.66027,7.339726
Purple,1,40,Dead,Alive,9.440216,10.55978
Purple,1,70,Dead,Alive,9.000206,10.99979
Purple,1,70,Dead,Alive,14.44027,5.559728
Purple,1,70,Dead,Alive,10.66024,9.339756
Purple,0,50,Dead,Alive,10.96025,9.039749
Purple,1,0,Alive,Alive,11.86027,8.139729
Purple,0,50,Dead,Alive,10.58024,9.419758
Purple,0,40,Dead,Alive,8.140186,11.85981
Purple,0,50,Dead,Alive,8.28019,11.71981
Purple,1,72,Dead,Alive,16.42027,3.57973
Purple,0,50,Dead,Alive,7.46017,12.53983
Purple,0,40,Dead,Alive,10.36024,9.639763
Purple,10,50,Dead,Alive,9.700222,10.29978
Purple,6,50,Dead,Alive,11.96027,8.039726
Blue,4,1,Alive,Alive,15.90027,4.09973
Purple,0,30,Dead,Alive,8.220188,11.77981
Purple,1,70,Dead,Alive,11.14025,8.859745
Purple,10,50,Dead,Alive,16.36027,3.63973
Purple,1,72,Dead,Alive,11.62027,8.379734
Purple,1,40,Dead,Alive,9.560219,10.43978
Purple,0,50,Dead,Alive,6.820156,13.17984
Draw,1,25,Dead,Alive,,0.01973285
Purple,0,42,Dead,Alive,11.24026,8.759743
Purple,1,70,Dead,Alive,11.62027,8.379734
Purple,0,40,Dead,Alive,8.340191,11.65981
Purple,1,70,Dead,Alive,11.28026,8.719742
Purple,0,40,Dead,Alive,8.960205,11.03979
Purple,2,90,Dead,Alive,15.54027,4.459729
Purple,11,70,Dead,Alive,14.88027,5.119729
Purple,0,50,Dead,Alive,7.840179,12.15982
Purple,0,50,Dead,Alive,8.960205,11.03979
Purple,1,70,Dead,Alive,13.28027,6.719727
Purple,1,70,Dead,Alive,9.800224,10.19978
Purple,7,60,Dead,Alive,13.52027,6.479727
Purple,2,90,Dead,Alive,13.26027,6.739727
Purple,11,62,Dead,Alive,11.50026,8.499737
Purple,0,30,Dead,Alive,16.16027,3.83973
Purple,0,50,Dead,Alive,8.780201,11.2198
Purple,1,72,Dead,Alive,13.02027,6.979727
Purple,10,50,Dead,Alive,10.56024,9.439758
Purple,1,70,Dead,Alive,12.74027,7.259727
Purple,0,50,Dead,Alive,13.20027,6.799727
Purple,0,40,Dead,Alive,8.860203,11.1398
Purple,0,50,Dead,Alive,9.300213,10.69979
Purple,1,70,Dead,Alive,17.36027,2.639731
Purple,1,60,Dead,Alive,9.18021,10.81979
Purple,10,50,Dead,Alive,16.86027,3.13973
Blue,2,0,Alive,Alive,15.54027,4.459729
Purple,0,50,Dead,Alive,8.340191,11.65981
Purple,2,90,Dead,Alive,12.10027,7.899726
Purple,1,70,Dead,Alive,11.42026,8.579739
Purple,0,50,Dead,Alive,9.540218,10.45978
Purple,0,50,Dead,Alive,7.180164,12.81984
Purple,11,70,Dead,Alive,19.38027,0.6197329
Purple,1,60,Dead,Alive,17.86027,2.139731
Purple,1,70,Dead,Alive,14.70027,5.299728
Purple,1,62,Dead,Alive,9.900227,10.09977
Purple,1,40,Dead,Alive,9.720222,10.27978
Purple,10,52,Dead,Alive,15.78027,4.219729
Purple,1,50,Dead,Alive,15.92027,4.07973
Purple,1,70,Dead,Alive,17.72027,2.279731
Purple,1,70,Dead,Alive,8.080185,11.91982
Purple,10,52,Dead,Alive,10.46024,9.539761
Purple,0,50,Dead,Alive,11.86027,8.139729
Blue,24,25,Alive,Alive,19.76027,0.2397328
