Winner, Blue Score, Purple Score, Blue State, Purple State, Time to Goal, Time Left
Purple,1,70,Dead,Alive,11.02025,8.979748
Purple,1,70,Dead,Alive,15.22027,4.779729
Purple,1,70,Dead,Alive,11.22026,8.779743
Purple,1,70,Dead,Alive,11.56026,8.439735
Purple,1,60,Dead,Alive,13.92027,6.079728
Purple,1,70,Dead,Alive,12.12027,7.879726
Purple,1,42,Dead,Alive,16.18027,3.81973
Purple,0,50,Dead,Alive,12.62027,7.379726
Purple,0,52,Dead,Alive,8.880203,11.1198
Purple,1,70,Dead,Alive,15.46027,4.539729
Purple,0,40,Dead,Alive,15.72027,4.279729
Purple,0,50,Dead,Alive,12.60027,7.399726
Purple,0,50,Dead,Alive,16.24027,3.75973
Purple,0,52,Dead,Alive,8.760201,11.2398
Purple,0,50,Dead,Alive,12.40027,7.599726
Purple,0,40,Dead,Alive,15.24027,4.759729
Purple,1,70,Dead,Alive,12.30027,7.699726
Purple,0,42,Dead,Alive,10.76025,9.239754
Purple,0,52,Dead,Alive,11.16026,8.839745
Purple,0,50,Dead,Alive,18.58027,1.419732
Purple,0,50,Dead,Alive,12.12027,7.879726
Draw,2,45,Dead,Alive,,0.01973285
Purple,1,70,Dead,Alive,13.12027,6.879727
Purple,1,70,Dead,Alive,13.18027,6.819727
Purple,1,70,Dead,Alive,12.84027,7.159727
Purple,0,50,Dead,Alive,12.64027,7.359726
Purple,2,90,Dead,Alive,15.16027,4.839729
Purple,1,70,Dead,Alive,12.00027,7.999726
Purple,0,50,Dead,Alive,17.46027,2.539731
Purple,1,72,Dead,Alive,16.44027,3.55973
Purple,1,70,Dead,Alive,13.60027,6.399727
Purple,0,50,Dead,Alive,8.640198,11.3598
Draw,1,35,Dead,Alive,,0.01973285
Purple,1,70,Dead,Alive,13.86027,6.139728
Purple,0,50,Dead,Alive,17.76027,2.239731
Purple,0,52,Dead,Alive,18.28027,1.719732
Purple,1,70,Dead,Alive,18.26027,1.739732
Purple,0,52,Dead,Alive,12.64027,7.359726
Purple,1,70,Dead,Alive,15.82027,4.179729
Purple,0,50,Dead,Alive,10.52024,9.479759
Purple,1,72,Dead,Alive,14.52027,5.479728
Purple,0,50,Dead,Alive,19.58027,0.4197329
Purple,0,50,Dead,Alive,16.20027,3.79973
Purple,1,60,Dead,Alive,13.22027,6.779727
Purple,0,50,Dead,Alive,12.28027,7.719726
Purple,0,50,Dead,Alive,9.420216,10.57978
Purple,2,90,Dead,Alive,18.24027,1.759732
Purple,1,70,Dead,Alive,16.32027,3.67973
Purple,1,70,Dead,Alive,12.66027,7.339726
Purple,1,70,Dead,Alive,19.44027,0.5597329
Purple,0,50,Dead,Alive,14.26027,5.739728
Purple,0,42,Dead,Alive,13.42027,6.579727
Purple,0,40,Dead,Alive,17.60027,2.399731
Purple,0,32,Dead,Alive,15.30027,4.699729
Purple,2,90,Dead,Alive,15.78027,4.219729
Purple,1,70,Dead,Alive,18.04027,1.959732
Purple,0,54,Dead,Alive,11.96027,8.039726
Purple,0,50,Dead,Alive,14.90027,5.099729
Purple,1,72,Dead,Alive,13.68027,6.319727
Purple,1,70,Dead,Alive,17.98027,2.019732
Purple,1,70,Dead,Alive,11.18026,8.819744
Purple,0,50,Dead,Alive,18.62027,1.379732
Draw,0,10,Alive,Alive,,0.01973285
Purple,1,70,Dead,Alive,12.74027,7.259727
Purple,0,50,Dead,Alive,14.76027,5.239728
Purple,0,50,Dead,Alive,15.46027,4.539729
Purple,1,70,Dead,Alive,15.80027,4.199729
Purple,0,50,Dead,Alive,12.26027,7.739726
Purple,1,60,Dead,Alive,17.06027,2.939731
Purple,1,70,Dead,Alive,16.94027,3.059731
Purple,0,50,Dead,Alive,19.60027,0.3997329
Purple,1,70,Dead,Alive,18.00027,1.999732
Purple,0,50,Dead,Alive,12.50027,7.499726
Purple,1,70,Dead,Alive,12.62027,7.379726
Purple,0,50,Dead,Alive,15.06027,4.939729
Purple,0,50,Dead,Alive,8.440193,11.55981
Purple,0,50,Dead,Alive,14.48027,5.519728
Purple,2,92,Dead,Alive,18.78027,1.219732
Purple,1,70,Dead,Alive,16.16027,3.83973
Draw,1,36,Dead,Alive,,0.01973285
Purple,1,70,Dead,Alive,18.78027,1.219732
Purple,1,50,Dead,Alive,14.46027,5.539728
Purple,0,42,Dead,Alive,12.94027,7.059727
Purple,0,40,Dead,Alive,18.54027,1.459732
Purple,0,50,Dead,Alive,14.30027,5.699728
Purple,1,70,Dead,Alive,16.34027,3.65973
Purple,0,40,Dead,Alive,17.64027,2.359731
Purple,1,70,Dead,Alive,13.32027,6.679727
Purple,1,60,Dead,Alive,14.56027,5.439728
Purple,2,50,Dead,Alive,17.72027,2.279731
Purple,1,70,Dead,Alive,18.32027,1.679732
Purple,0,50,Dead,Alive,16.64027,3.35973
Purple,1,70,Dead,Alive,13.64027,6.359727
Purple,1,70,Dead,Alive,19.78027,0.2197328
Purple,1,70,Dead,Alive,14.80027,5.199728
Purple,1,70,Dead,Alive,15.84027,4.159729
Purple,0,50,Dead,Alive,18.00027,1.999732
Purple,0,50,Dead,Alive,16.36027,3.63973
Draw,1,0,Alive,Alive,,0.01973285
Purple,1,70,Dead,Alive,17.44027,2.559731
