Winner, Blue Score, Purple Score, Blue State, Purple State, Time to Goal, Time Left
Purple,0,50,Dead,Alive,9.780224,10.21978
Purple,0,50,Dead,Alive,9.060207,10.93979
Purple,0,50,Dead,Alive,9.60022,10.39978
Purple,0,50,Dead,Alive,7.400169,12.59983
Purple,0,40,Dead,Alive,8.460194,11.53981
Purple,0,50,Dead,Alive,11.30026,8.699741
Purple,0,52,Dead,Alive,10.38024,9.619762
Purple,0,50,Dead,Alive,9.860226,10.13977
Purple,0,50,Dead,Alive,7.860179,12.13982
Purple,0,50,Dead,Alive,7.140163,12.85984
Purple,0,50,Dead,Alive,8.7202,11.2798
Purple,0,50,Dead,Alive,9.240211,10.75979
Purple,0,50,Dead,Alive,11.72027,8.279732
Purple,0,50,Dead,Alive,9.640221,10.35978
Purple,0,50,Dead,Alive,8.7402,11.2598
Purple,0,30,Dead,Alive,12.86027,7.139727
Purple,0,50,Dead,Alive,9.440216,10.55978
Purple,0,50,Dead,Alive,7.740177,12.25982
Purple,0,50,Dead,Alive,9.300213,10.69979
Purple,0,30,Dead,Alive,8.820202,11.1798
Purple,0,30,Dead,Alive,9.420216,10.57978
Purple,0,50,Dead,Alive,10.90025,9.099751
Purple,0,40,Dead,Alive,8.000183,11.99982
Purple,0,50,Dead,Alive,9.540218,10.45978
Purple,0,40,Dead,Alive,10.54024,9.459759
Purple,0,50,Dead,Alive,7.500171,12.49983
Purple,5,30,Dead,Alive,8.080185,11.91982
Purple,0,30,Dead,Alive,9.60022,10.39978
Purple,0,50,Dead,Alive,8.480194,11.51981
Purple,0,52,Dead,Alive,15.12027,4.879729
Purple,0,50,Dead,Alive,7.46017,12.53983
Purple,0,40,Dead,Alive,12.46027,7.539726
Purple,0,50,Dead,Alive,7.540172,12.45983
Purple,0,50,Dead,Alive,9.540218,10.45978
Purple,0,42,Dead,Alive,12.20027,7.799726
Purple,0,50,Dead,Alive,7.840179,12.15982
Purple,0,32,Dead,Alive,9.200211,10.79979
Purple,0,30,Dead,Alive,8.240189,11.75981
Purple,0,50,Dead,Alive,14.38027,5.619728
Purple,0,50,Dead,Alive,10.16023,9.839767
Purple,0,30,Dead,Alive,8.460194,11.53981
Purple,0,50,Dead,Alive,9.440216,10.55978
Purple,0,32,Dead,Alive,13.94027,6.059728
Purple,0,50,Dead,Alive,10.14023,9.859768
Purple,0,50,Dead,Alive,9.040207,10.95979
Purple,11,50,Dead,Alive,12.74027,7.259727
Purple,0,50,Dead,Alive,10.90025,9.099751
Purple,0,30,Dead,Alive,9.120209,10.87979
Purple,0,30,Dead,Alive,9.420216,10.57978
Purple,0,40,Dead,Alive,12.30027,7.699726
Purple,10,50,Dead,Alive,14.28027,5.719728
Purple,0,30,Dead,Alive,13.22027,6.779727
Purple,0,50,Dead,Alive,9.700222,10.29978
Purple,0,52,Dead,Alive,10.16023,9.839767
Purple,0,50,Dead,Alive,7.980182,12.01982
Purple,0,50,Dead,Alive,9.60022,10.39978
Purple,0,30,Dead,Alive,14.92027,5.079729
Purple,0,50,Dead,Alive,9.580219,10.41978
Purple,10,50,Dead,Alive,10.84025,9.159752
Purple,0,52,Dead,Alive,11.08025,8.919746
Purple,0,50,Dead,Alive,10.84025,9.159752
Purple,10,50,Dead,Alive,10.70024,9.299755
Purple,0,50,Dead,Alive,13.08027,6.919727
Purple,0,50,Dead,Alive,9.120209,10.87979
Purple,0,42,Dead,Alive,13.14027,6.859727
Purple,0,50,Dead,Alive,7.380168,12.61983
Purple,0,50,Dead,Alive,7.260166,12.73983
Purple,0,50,Dead,Alive,16.34027,3.65973
Purple,0,32,Dead,Alive,9.120209,10.87979
Purple,0,40,Dead,Alive,17.12027,2.879731
Purple,0,50,Dead,Alive,10.86025,9.139751
Purple,0,30,Dead,Alive,14.20027,5.799728
Purple,0,50,Dead,Alive,12.66027,7.339726
Purple,0,50,Dead,Alive,7.980182,12.01982
Purple,0,40,Dead,Alive,11.64027,8.359734
Purple,0,30,Dead,Alive,9.500217,10.49978
Purple,0,30,Dead,Alive,13.86027,6.139728
Purple,0,50,Dead,Alive,13.70027,6.299727
Purple,0,42,Dead,Alive,15.16027,4.839729
Purple,0,30,Dead,Alive,8.960205,11.03979
Purple,0,50,Dead,Alive,6.920158,13.07984
Purple,5,30,Dead,Alive,14.02027,5.979728
Purple,0,50,Dead,Alive,16.46027,3.53973
Purple,0,32,Dead,Alive,15.10027,4.899729
Purple,0,40,Dead,Alive,9.320213,10.67979
Purple,0,50,Dead,Alive,17.36027,2.639731
Purple,1,60,Dead,Alive,15.40027,4.599729
Purple,0,50,Dead,Alive,9.320213,10.67979
Purple,0,30,Dead,Alive,12.80027,7.199727
Purple,10,50,Dead,Alive,7.320167,12.67983
Purple,0,50,Dead,Alive,14.38027,5.619728
Purple,0,20,Alive,Alive,12.40027,7.599726
Draw,0,0,Alive,Alive,,0.01973285
Purple,0,30,Dead,Alive,9.980228,10.01977
Purple,0,50,Dead,Alive,9.700222,10.29978
Purple,0,40,Dead,Alive,11.34026,8.65974
Purple,0,50,Dead,Alive,17.82027,2.179731
Purple,0,50,Dead,Alive,12.66027,7.339726
Purple,0,50,Dead,Alive,7.200164,12.79984
Draw,0,25,Dead,Alive,,0.01973285
