Winner, Blue Score, Purple Score, Blue State, Purple State, Time to Goal, Time Left
Purple,0,50,Dead,Alive,7.060161,12.93984
Purple,10,50,Dead,Alive,6.740154,13.25985
Purple,0,50,Dead,Alive,6.340145,13.65985
Purple,10,40,Dead,Alive,6.680152,13.31985
Draw,25,25,Dead,Dead,,11.93982
Purple,0,50,Dead,Alive,7.180164,12.81984
Purple,0,50,Dead,Alive,7.280166,12.71983
Purple,0,50,Dead,Alive,7.980182,12.01982
Purple,0,50,Dead,Alive,7.720176,12.27982
Purple,0,50,Dead,Alive,7.720176,12.27982
Purple,1,52,Dead,Alive,7.88018,12.11982
Purple,0,50,Dead,Alive,8.340191,11.65981
Purple,10,50,Dead,Alive,7.620174,12.37983
Purple,0,50,Dead,Alive,8.260189,11.73981
Purple,5,40,Dead,Alive,9.16021,10.83979
Purple,0,50,Dead,Alive,9.020206,10.97979
Purple,0,50,Dead,Alive,8.040184,11.95982
Purple,0,50,Dead,Alive,7.740177,12.25982
Purple,0,50,Dead,Alive,8.600197,11.3998
Purple,0,50,Dead,Alive,8.240189,11.75981
Purple,0,50,Dead,Alive,8.680199,11.3198
Purple,10,50,Dead,Alive,8.580196,11.4198
Purple,0,50,Dead,Alive,7.960182,12.03982
Purple,0,50,Dead,Alive,7.300167,12.69983
Purple,6,60,Dead,Alive,11.28026,8.719742
Purple,0,50,Dead,Alive,8.100185,11.89981
Purple,0,42,Dead,Alive,10.88025,9.119751
Purple,0,50,Dead,Alive,8.420193,11.57981
Purple,0,50,Dead,Alive,8.600197,11.3998
Purple,0,50,Dead,Alive,8.940205,11.0598
Purple,0,50,Dead,Alive,8.800201,11.1998
Purple,0,50,Dead,Alive,8.040184,11.95982
Purple,0,50,Dead,Alive,7.800178,12.19982
Purple,1,40,Dead,Alive,12.28027,7.719726
Purple,0,30,Dead,Alive,8.140186,11.85981
Purple,0,50,Dead,Alive,9.820225,10.17978
Purple,1,70,Dead,Alive,9.18021,10.81979
Purple,0,50,Dead,Alive,6.56015,13.43985
Purple,0,52,Dead,Alive,12.78027,7.219727
Purple,0,50,Dead,Alive,7.400169,12.59983
Purple,0,50,Dead,Alive,9.120209,10.87979
Purple,0,52,Dead,Alive,10.86025,9.139751
Purple,0,50,Dead,Alive,8.000183,11.99982
Purple,0,50,Dead,Alive,8.540195,11.4598
Purple,0,40,Dead,Alive,9.920227,10.07977
Purple,0,50,Dead,Alive,10.56024,9.439758
Purple,10,50,Dead,Alive,8.600197,11.3998
Purple,0,50,Dead,Alive,6.920158,13.07984
Purple,0,50,Dead,Alive,8.020184,11.97982
Purple,0,40,Dead,Alive,14.38027,5.619728
Purple,1,60,Dead,Alive,12.42027,7.579726
Purple,0,50,Dead,Alive,9.120209,10.87979
Purple,0,50,Dead,Alive,8.460194,11.53981
Purple,0,40,Dead,Alive,9.420216,10.57978
Purple,0,30,Dead,Alive,9.700222,10.29978
Purple,0,52,Dead,Alive,7.320167,12.67983
Purple,1,70,Dead,Alive,11.14025,8.859745
Purple,0,50,Dead,Alive,8.260189,11.73981
Purple,0,50,Dead,Alive,9.580219,10.41978
Purple,1,50,Dead,Alive,12.88027,7.119727
Purple,0,50,Dead,Alive,7.740177,12.25982
Purple,0,50,Dead,Alive,12.64027,7.359726
Purple,0,50,Dead,Alive,9.880226,10.11977
Purple,0,50,Dead,Alive,7.760177,12.23982
Purple,1,50,Dead,Alive,11.44026,8.559738
Purple,0,50,Dead,Alive,7.90018,12.09982
Purple,0,40,Dead,Alive,8.800201,11.1998
Purple,0,50,Dead,Alive,8.340191,11.65981
Purple,0,50,Dead,Alive,16.82027,3.17973
Purple,0,50,Dead,Alive,8.220188,11.77981
Purple,0,50,Dead,Alive,9.300213,10.69979
Purple,1,40,Dead,Alive,17.66027,2.339731
Purple,0,40,Dead,Alive,6.820156,13.17984
Purple,10,50,Dead,Alive,7.680175,12.31982
Purple,0,42,Dead,Alive,9.980228,10.01977
Purple,0,50,Dead,Alive,8.120186,11.87981
Purple,0,50,Dead,Alive,10.42024,9.579762
Purple,1,40,Dead,Alive,13.98027,6.019728
Purple,0,40,Dead,Alive,10.64024,9.359756
Purple,1,70,Dead,Alive,13.42027,6.579727
Draw,2,40,Dead,Alive,,0.01973285
Purple,1,40,Dead,Alive,9.280212,10.71979
Purple,0,50,Dead,Alive,7.920181,12.07982
Purple,2,72,Dead,Alive,12.72027,7.279727
Purple,0,50,Dead,Alive,8.140186,11.85981
Purple,0,50,Dead,Alive,8.140186,11.85981
Purple,0,50,Dead,Alive,12.60027,7.399726
Purple,0,50,Dead,Alive,9.820225,10.17978
Purple,1,72,Dead,Alive,19.72027,0.2797328
Purple,1,70,Dead,Alive,10.04023,9.95977
Purple,0,50,Dead,Alive,7.520172,12.47983
Purple,10,50,Dead,Alive,10.18023,9.819767
Purple,0,50,Dead,Alive,7.860179,12.13982
Draw,17,20,Alive,Dead,,0.01973285
Purple,11,60,Dead,Alive,16.14027,3.85973
Purple,0,52,Dead,Alive,8.000183,11.99982
Purple,0,50,Dead,Alive,11.76027,8.239731
Purple,11,60,Dead,Alive,17.22027,2.779731
Draw,1,35,Dead,Alive,,0.01973285
Purple,10,50,Dead,Alive,6.200141,13.79986
,,,,,,
,1.73,,,,,
