Winner, Blue Score, Purple Score, Blue State, Purple State, Time to Goal, Time Left
Purple,5,30,Dead,Alive,7.080162,12.91984
Draw,15,15,Dead,Dead,,13.67986
Draw,25,25,Dead,Dead,,13.99986
Draw,20,20,Dead,Dead,,14.17987
Purple,5,30,Dead,Alive,7.88018,12.11982
Purple,0,30,Dead,Alive,7.060161,12.93984
Purple,0,30,Dead,Alive,8.160187,11.83981
Purple,10,50,Dead,Alive,6.940158,13.05984
Purple,0,40,Dead,Alive,6.58015,13.41985
Purple,0,30,Dead,Alive,7.760177,12.23982
Purple,0,50,Dead,Alive,6.180141,13.81986
Purple,0,40,Dead,Alive,8.28019,11.71981
Purple,0,50,Dead,Alive,7.740177,12.25982
Purple,0,50,Dead,Alive,6.260143,13.73986
Purple,0,40,Dead,Alive,8.240189,11.75981
Purple,0,52,Dead,Alive,7.640174,12.35983
Draw,25,25,Dead,Dead,,15.15989
Purple,0,50,Dead,Alive,7.520172,12.47983
Purple,0,30,Dead,Alive,8.440193,11.55981
Purple,0,30,Dead,Alive,8.28019,11.71981
Purple,0,50,Dead,Alive,7.360168,12.63983
Purple,0,40,Dead,Alive,6.640152,13.35985
Purple,5,40,Dead,Alive,8.040184,11.95982
Draw,15,15,Dead,Dead,,12.67983
Purple,5,40,Dead,Alive,7.840179,12.15982
Purple,0,40,Dead,Alive,6.860157,13.13984
Purple,0,52,Dead,Alive,9.060207,10.93979
Purple,0,40,Dead,Alive,6.56015,13.43985
Purple,0,50,Dead,Alive,7.660175,12.33982
Purple,10,50,Dead,Alive,7.620174,12.37983
Purple,0,40,Dead,Alive,6.600151,13.39985
Purple,10,42,Dead,Alive,8.700199,11.2998
Purple,0,40,Dead,Alive,7.540172,12.45983
Purple,0,40,Dead,Alive,7.840179,12.15982
Purple,0,50,Dead,Alive,7.280166,12.71983
Purple,0,50,Dead,Alive,7.260166,12.73983
Purple,0,40,Dead,Alive,6.740154,13.25985
Draw,20,15,Dead,Dead,,13.95986
Purple,0,50,Dead,Alive,8.28019,11.71981
Purple,10,40,Dead,Alive,9.680222,10.31978
Purple,1,50,Dead,Alive,7.860179,12.13982
Purple,5,30,Dead,Alive,6.58015,13.41985
Purple,10,50,Dead,Alive,8.7402,11.2598
Purple,0,30,Dead,Alive,7.340168,12.65983
Purple,0,40,Dead,Alive,8.240189,11.75981
Purple,5,30,Dead,Alive,7.740177,12.25982
Purple,0,40,Dead,Alive,7.300167,12.69983
Purple,0,30,Dead,Alive,7.200164,12.79984
Purple,0,50,Dead,Alive,9.840225,10.15977
Purple,0,50,Dead,Alive,7.280166,12.71983
Purple,10,50,Dead,Alive,6.880157,13.11984
Purple,10,40,Dead,Alive,8.480194,11.51981
Draw,25,20,Dead,Dead,,13.35985
Purple,10,42,Dead,Alive,9.680222,10.31978
Purple,0,30,Dead,Alive,7.920181,12.07982
Draw,26,30,Dead,Dead,,12.53983
Purple,5,52,Dead,Alive,7.640174,12.35983
Purple,0,50,Dead,Alive,7.760177,12.23982
Purple,10,52,Dead,Alive,7.680175,12.31982
Purple,10,40,Dead,Alive,10.70024,9.299755
Purple,0,30,Dead,Alive,8.080185,11.91982
Purple,0,32,Dead,Alive,8.880203,11.1198
Purple,10,50,Dead,Alive,6.900157,13.09984
Purple,0,30,Dead,Alive,8.040184,11.95982
Purple,10,30,Dead,Alive,10.00023,9.999771
Purple,0,30,Dead,Alive,7.500171,12.49983
Purple,0,40,Dead,Alive,10.46024,9.539761
Purple,0,50,Dead,Alive,6.880157,13.11984
Purple,0,40,Dead,Alive,9.040207,10.95979
Purple,0,50,Dead,Alive,8.120186,11.87981
Purple,10,30,Dead,Alive,7.260166,12.73983
Purple,0,50,Dead,Alive,6.620151,13.37985
Purple,5,30,Dead,Alive,9.080208,10.91979
Purple,0,40,Dead,Alive,12.22027,7.779726
Purple,10,30,Dead,Alive,8.160187,11.83981
Purple,0,52,Dead,Alive,11.28026,8.719742
Purple,0,40,Dead,Alive,7.00016,12.99984
Purple,0,50,Dead,Alive,8.160187,11.83981
Purple,10,30,Dead,Alive,9.200211,10.79979
Purple,0,40,Dead,Alive,7.960182,12.03982
Purple,0,50,Dead,Alive,7.260166,12.73983
Purple,0,50,Dead,Alive,11.80027,8.19973
Purple,10,40,Dead,Alive,8.940205,11.0598
Purple,10,30,Dead,Alive,7.360168,12.63983
Draw,25,20,Dead,Dead,,11.2198
Purple,0,50,Dead,Alive,10.32024,9.679764
Purple,0,40,Dead,Alive,8.440193,11.55981
Purple,0,52,Dead,Alive,9.140209,10.85979
Purple,0,50,Dead,Alive,8.100185,11.89981
Purple,0,42,Dead,Alive,8.900204,11.0998
Purple,5,30,Dead,Alive,9.120209,10.87979
Purple,0,40,Dead,Alive,7.160163,12.83984
Purple,0,50,Dead,Alive,7.620174,12.37983
Purple,1,70,Dead,Alive,14.44027,5.559728
Purple,5,50,Dead,Alive,6.840156,13.15984
Draw,25,25,Dead,Dead,,0.2397328
Purple,0,30,Dead,Alive,4.760108,15.23989
Purple,10,30,Dead,Alive,8.580196,11.4198
Purple,0,40,Dead,Alive,9.860226,10.13977
Purple,0,50,Dead,Alive,10.12023,9.879768
,,,,,,
,4.53,,,,,
